launch_name,date,success,rocket_id,payloads,launchpad_id
Starlink 4-1 (v1.5),2021-11-13T12:40:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
DART,2021-11-24T06:20:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509092b78566f87
Starlink 4-3 (v1.5),2021-12-01T23:20:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
IXPE,2021-12-09T06:00:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
Starlink 4-4 (v1.5),2021-12-18T12:41:40.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509092b78566f87
Türksat 5B,2021-12-19T03:58:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
CRS-24,2021-12-21T10:06:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
Starlink 4-5 (v1.5),2022-01-06T21:49:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
Transporter-3,2022-01-13T15:25:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Starlink 4-6 (v1.5),2022-01-19T00:04:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
CSG-2,2022-01-31T23:11:12.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
NROL-87,2022-02-02T20:18:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509092b78566f87
Starlink 4-7 (v1.5),2022-02-03T18:13:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
Starlink 4-8 (v1.5),2022-02-21T14:44:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Starlink 4-11 (v1.5),2022-02-25T17:12:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509092b78566f87
Starlink 4-9 (v1.5),2022-03-03T14:35:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
Starlink 4-10 (v1.5),2022-03-09T13:45:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Starlink 4-12 (v1.5),2022-03-19T03:24:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Transporter-4,2022-04-01T16:24:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Ax-1,2022-04-08T15:17:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
NROL-85,2022-04-17T13:13:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509092b78566f87
Starlink 4-14 (v1.5),2022-04-21T15:16:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Crew-4,2022-04-27T07:52:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
Starlink 4-16 (v1.5),2022-04-29T21:27:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Starlink 4-17 (v1.5),2022-05-06T09:42:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
Starlink 4-13 (v1.5),2022-05-13T22:07:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509092b78566f87
Starlink 4-15 (v1.5),2022-05-14T20:40:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
